1;PT. BANK RAKYAT INDONESIA (PERSERO), Tbk;Jl. Jend. Sudirman Kav. 44-46, Jakarta 10210;(021) 2510244, 2510254, 2510269-264; KANTOR PUSAT BANK UMUM NASIONAL PERSERO (BUMN)
2;PT. BANK MANDIRI (PERSERO), Tbk;Plaza Mandiri, Jl. Gatot Subroto Kav. 36-38, Jakarta 12190;(021) 5245006, 5245858, 5245849, 52997777; KANTOR PUSAT BANK UMUM NASIONAL PERSERO (BUMN)
3;PT. BANK NEGARA INDONESIA (PERSERO), Tbk;Jl. Jend. Sudirman Kav. 1, Jakarta 10220;(021) 2511218-19-20-22-24-25-26-29; KANTOR PUSAT BANK UMUM NASIONAL PERSERO (BUMN)
4;PT. BANK TABUNGAN NEGARA (PERSERO), Tbk;Gedung Menara BTN, Jl. Gajah Mada No. 1, Jakarta 10130;(021) 2310490, 6336789, 26533555; KANTOR PUSAT BANK UMUM NASIONAL PERSERO (BUMN)
5;PT. BANK DANAMON INDONESIA, Tbk;Menara Bank Danamon, Jl.Prof. Dr. Satrio Kav. E4 No.6, Mega Kuningan, Jakarta 12950;(021) 57991001-3, 5770160-61, 5740858-80; KANTOR PUSAT BANK UMUM NASIONAL PERSERO (BUMN)
6;PT. BANK PERMATA, Tbk;Gedung World Trade Center (WTC) II, Jl. Jend. Sudirman Kav. 29-31 Jakarta 12920;(021) 5237788; KANTOR PUSAT BANK UMUM NASIONAL PERSERO (BUMN)
7;PT. BANK CENTRAL ASIA, Tbk;Menara BCA, Grand Indonesia Jl. M.H Thamrin No. 1, Jakarta 10310;(021) 2358-8000; KANTOR PUSAT BANK SWASTA NASIONAL PERSERO (BUMN)
8;PT. BANK INTERNASIONAL INDONESIA, Tbk;Gedung Sentral Senayan 3, Lt. 26, Jl. Asia Afrika No. 8, Gelora Bung Karno - Senayan, Jakarta Pusat 10270;(021) 29228888; KANTOR PUSAT BANK SWASTA NASIONAL PERSERO (BUMN)
9;PT. PAN INDONESIA BANK, Tbk;Panin Bank Centre, Jl. Jend. Sudirman Kav. 1 (Senayan), Jakarta 10270;(021) 2700545 (10 lines); KANTOR PUSAT BANK SWASTA NASIONAL PERSERO (BUMN)
10;PT. BANK CIMB NIAGA, Tbk;Graha Niaga / Niaga Tower Jl. Jend. Sudirman Kav. 58, Jakarta 12190;(021) 2505151, 2505252, 2505353; KANTOR PUSAT BANK SWASTA NASIONAL PERSERO (BUMN)
11;PT. BANK UOB INDONESIA;Jl. M.H. Thamrin No. 10 Jakarta 10230;(021) 23506000; KANTOR PUSAT BANK SWASTA NASIONAL PERSERO (BUMN)
12;PT. BANK OCBC NISP, Tbk;OCBC NISP Tower, Jl. Prof.Dr. Satrio Kav. 25, Jakarta Selatan 12950;(021) 25533888; KANTOR PUSAT BANK SWASTA NASIONAL PERSERO (BUMN)
13;PT. BANK ARTHA GRAHA INTERNASIONAL, Tbk;Kaw. Niaga Terpadu (SCBD), Jl. Sudirman Kav. 52-53, Jakarta 12190;(021) 5711095, 5152168; KANTOR PUSAT BANK SWASTA NASIONAL PERSERO (BUMN)
14;PT. BANK BUMI ARTA, Tbk;Jl. KH. Wahid Hasyim No. 234, Jakarta 10250;(021) 2300893, 2300455; KANTOR PUSAT BANK SWASTA NASIONAL PERSERO (BUMN)
15;PT. BANK EKONOMI RAHARJA, Tbk;Graha Ekonomi, Jl. Setiabudi Selatan Kav. 7-8, Jakarta 12920;(021) 57904567, 25545800; KANTOR PUSAT BANK SWASTA NASIONAL PERSERO (BUMN)
16;PT. BANK ANTAR DAERAH;Jl. Bongkaran No. 28-30, Surabaya;(031) 3540909; KANTOR PUSAT BANK SWASTA NASIONAL PERSERO (BUMN)
17;PT. BANK MUTIARA, Tbk;Gedung International Financial Centre Lt. 11, Jl. Jendral Sudirman Kav. 22-23, Jakarta 12920;(021) 29261111(HUNTING); KANTOR PUSAT BANK SWASTA NASIONAL PERSERO (BUMN)
18;PT. BANK MAYAPADA INTERNATIONAL, Tbk;Mayapada Tower Ground Floor, Jl. Jend. Sudirman Kav. 28, Jakarta;(021) 5212288-1300, 2511588-2300; KANTOR PUSAT BANK SWASTA NASIONAL PERSERO (BUMN)
19;PT. BANK NUSANTARA PARAHYANGAN, Tbk;Jl. Ir. H. Juanda No. 95, Bandung 40132;(022) 82560100; KANTOR PUSAT BANK SWASTA NASIONAL PERSERO (BUMN)
20;PT. BANK OF INDIA INDONESIA, Tbk;Jl. H. Samanhudi No. 37, Jakarta 10710;;
21;PT. BANK MUAMALAT INDONESIA;Gedung Arthaloka Jl. Jend. Sudirman No. 2, Jakarta 10220;;
22;PT. BANK MESTIKA DHARMA, Tbk;Jl. Zainul Arifin 118, Medan 20153;;
23;PT. BANK METRO EXPRESS;Jl. Hayam Wuruk No. 19-20, Jakarta 10120;;
24;PT. BANK SINARMAS, Tbk;Wisma Bank Sinarmas, Jl. MH. Thamrin No. 51, Jakarta 10350;;
25;PT. BANK MASPION INDONESIA, Tbk;Jl. Basuki Rahmat No. 50 - 54, Surabaya;;
26;PT. BANK GANESHA;Jl. Hayam Wuruk No. 28, Jakarta 10120;;
27;PT. BANK ICBC INDONESIA;ICBC Tower Lt. 32, Jl. M.H. Thamrin No. 81, Jakarta Pusat;;
28;PT. BANK QNB INDONESIA, Tbk;Office Park Tower D, Lot 18 SCBD Jl. Jend Sudirman Kav. 52-53 Jakarta 12190;;
29;PT. BANK HIMPUNAN SAUDARA 1906, Tbk;Gedung Bank Saudara, Jl. Diponegoro No. 28, Bandung 40115;;
30;PT. BANK MEGA, Tbk;Menara Bank Mega Lt.15, Jl. Kapten Tendean Kav. 12-14 A, Jakarta 12790;;
31;PT. BANK BNI SYARIAH;Gedung Tempo Pavilion 1, Jl. HR Rasuna Said Kav. 11, Jakarta;;
32;PT. BANK BUKOPIN, Tbk;Jl. MT. Haryono Kav. 50-51, Jakarta 12770;;
33;PT. BANK SYARIAH MANDIRI;Jl. M. H. Thamrin No. 5, Jakarta 10340;;
34;PT. BANK KEB HANA INDONESIA;Wisma Mulia Lt. 52, Suite 5201 Jl. Jend. Gatot Subroto No. 42, Jakarta 12170;;
35;PT. BANK MNC INTERNASIONAL, Tbk;Gedung MNC Financial Center, Lt. 6,7,8 Jl. Kebon Sirih Raya No. 27, Jakarta Pusat 10340;;
36;PT. BANK RAKYAT INDONESIA AGRONIAGA, Tbk;Plaza Great River Ind. Jl. HR. Rasuna Said Blk X2/1, Kuningan, Jakarta 12950;;
37;PT. BANK SBI INDONESIA;Graha Mandiri, Jl. Imam Bonjol No.61 Lt. 1, Jakarta Pusat 10310;;
38;PT. BANK MEGA SYARIAH;Gedung MMS, Jl. HR. Rasuna Said Kav. 19A, Jakarta;;
